rt,trial_type,trial_index,time_elapsed,responses,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,mobile,flash,cookies,screen_size,block,sub_block
56651,instructions,0,56651,,,,,,,,,,,,,,,,,,
4045,survey-multi-choice,1,60698,"{""Q0"":""אישה"",""Q1"":""ימין"",""Q2"":""עברית""}",,,,,,,,,,,,,,,,,
3247,survey-text,2,63946,"{""Q0"":""26""}",,,,,,,,,,,,,,,,,
2503,survey-multi-choice,3,66450,"{""Q0"":""כן""}",,,,,,,,,,,,,,,,,
13391,survey-likert,4,79842,"{""Q0"":8}",,,,,,,,,,,,,,,,,
7047,instructions,5,86890,,,,,,,,,,,,,,,,,,
1392,image-cpt,6,88613,,32,TRUE,,training,,,,,,,,,,,,,
1157,image-cpt,7,90835,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,8,94062,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,9,97281,,null,FALSE,,training,,,,,,,,,,,,,
441,image-cpt,10,100003,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,11,102734,,null,FALSE,,training,,,,,,,,,,,,,
380,image-cpt,12,104460,,32,TRUE,,training,,,,,,,,,,,,,
558,image-cpt,13,106667,,32,TRUE,,training,,,,,,,,,,,,,
479,image-cpt,14,109373,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,15,111580,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,16,113291,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,17,116013,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,18,117748,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,19,120473,,null,FALSE,,training,,,,,,,,,,,,,
368,image-cpt,20,122702,,32,TRUE,,training,,,,,,,,,,,,,
459,image-cpt,21,125420,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,22,128633,,null,FALSE,,training,,,,,,,,,,,,,
464,image-cpt,23,130349,,32,TRUE,,training,,,,,,,,,,,,,
540,image-cpt,24,132578,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,25,134298,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,26,137518,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,27,140227,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,28,143450,,null,FALSE,,training,,,,,,,,,,,,,
