rt,trial_type,trial_index,time_elapsed,responses,name,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,is_fullscreen,trial_began,os,browser,mobile,screen_size,block,sub_block
28257,instructions,0,28257,,,,,,,,,,,,,,,,
6926,survey-multi-choice,1,35185,"{""Q0"":""גבר"",""Q1"":""ימין"",""Q2"":""עברית""}",,,,,,,,,,,,,,,
3719,survey-text,2,38905,"{""Q0"":""25""}",,,,,,,,,,,,,,,
3120,survey-multi-choice,3,42025,"{""Q0"":""לא""}",,,,,,,,,,,,,,,
4847,survey-likert,4,46873,"{""Q0"":1}",attention_2,,,,,,,,,,,,,,
11599,instructions,5,58473,,,,,,,,,,,,,,,,
null,image-cpt,6,60698,,,null,TRUE,,training,,,,,,,,,,
null,image-cpt,7,62916,,,null,FALSE,,training,,,,,,,,,,
511,image-cpt,8,64645,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,9,67866,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,10,69587,,,null,FALSE,,training,,,,,,,,,,
365,image-cpt,11,72809,,,32,TRUE,,training,,,,,,,,,,
407,image-cpt,12,75040,,,32,TRUE,,training,,,,,,,,,,
352,image-cpt,13,77767,,,32,TRUE,,training,,,,,,,,,,
569,image-cpt,14,79988,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,15,82724,,,null,FALSE,,training,,,,,,,,,,
476,image-cpt,16,85431,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,17,88149,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,18,89869,,,null,FALSE,,training,,,,,,,,,,
563,image-cpt,19,91586,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,20,93808,,,null,FALSE,,training,,,,,,,,,,
640,image-cpt,21,96013,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,22,99250,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,23,101983,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,24,103703,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,25,106923,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,26,108663,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,27,111869,,,null,FALSE,,training,,,,,,,,,,
995,image-cpt,28,113596,,,32,TRUE,,training,,,,,,,,,,
8440,instructions,29,122037,,,,,,,,,,,,,,,,
null,image-cpt,30,124261,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,31,126984,,,null,FALSE,,,,,,,,,,,,
405,image-cpt,32,129707,,,32,TRUE,,,,,,,,,,,,
291,image-cpt,33,132929,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,34,135157,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,35,137875,,,null,FALSE,,,,,,,,,,,,
410,image-cpt,36,140105,,,32,TRUE,,,,,,,,,,,,
341,image-cpt,37,142813,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,38,144539,,,null,FALSE,,,,,,,,,,,,
434,image-cpt,39,147250,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,40,150471,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,41,153683,,,null,FALSE,,,,,,,,,,,,
346,image-cpt,42,155421,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,43,157146,,,null,FALSE,,,,,,,,,,,,
388,image-cpt,44,158854,,,32,TRUE,,,,,,,,,,,,
375,image-cpt,45,161069,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,46,163779,,,null,FALSE,,,,,,,,,,,,
346,image-cpt,47,165504,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,48,168718,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,49,171441,,,null,FALSE,,,,,,,,,,,,
380,image-cpt,50,173673,,,32,TRUE,,,,,,,,,,,,
357,image-cpt,51,176900,,,32,TRUE,,,,,,,,,,,,
330,image-cpt,52,178619,,,32,TRUE,,,,,,,,,,,,
374,image-cpt,53,180830,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,54,183550,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,55,186796,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,56,189022,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,57,190745,,,null,FALSE,,,,,,,,,,,,
343,image-cpt,58,192483,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,59,195712,,,null,FALSE,,,,,,,,,,,,
273,image-cpt,60,197937,,,32,TRUE,,,,,,,,,,,,
399,image-cpt,61,201157,,,32,TRUE,,,,,,,,,,,,
331,image-cpt,62,204377,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,63,206596,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,64,209316,,,null,FALSE,,,,,,,,,,,,
364,image-cpt,65,212546,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,66,214765,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,67,216484,,,null,FALSE,,,,,,,,,,,,
381,image-cpt,68,219193,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,69,220910,,,null,FALSE,,,,,,,,,,,,
290,image-cpt,70,222633,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,71,224365,,,null,FALSE,,,,,,,,,,,,
356,image-cpt,72,227099,,,32,TRUE,,,,,,,,,,,,
341,image-cpt,73,228816,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,74,230542,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,75,233765,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,76,235474,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,77,237199,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,78,239428,,,null,FALSE,,,,,,,,,,,,
412,image-cpt,79,242662,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,80,245871,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,81,247594,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,82,250307,,,null,FALSE,,,,,,,,,,,,
573,image-cpt,83,252528,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,84,255737,,,null,FALSE,,,,,,,,,,,,
375,image-cpt,85,258455,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,86,260678,,,null,FALSE,,,,,,,,,,,,
362,image-cpt,87,263397,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,88,266625,,,null,FALSE,,,,,,,,,,,,
335,image-cpt,89,268350,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,90,270562,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,91,273777,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,92,276006,,,null,FALSE,,,,,,,,,,,,
395,image-cpt,93,279225,,,32,TRUE,,,,,,,,,,,,
488,image-cpt,94,281963,,,32,TRUE,,,,,,,,,,,,
406,image-cpt,95,284680,,,32,TRUE,,,,,,,,,,,,
361,image-cpt,96,286396,,,32,TRUE,,,,,,,,,,,,
469,image-cpt,97,288618,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,98,290832,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,99,293048,,,null,FALSE,,,,,,,,,,,,
377,image-cpt,100,295758,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,101,297484,,,null,FALSE,,,,,,,,,,,,
388,image-cpt,102,299710,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,103,301943,,,null,FALSE,,,,,,,,,,,,
345,image-cpt,104,303663,,,32,TRUE,,,,,,,,,,,,
385,image-cpt,105,305368,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,106,308591,,,null,FALSE,,,,,,,,,,,,
354,image-cpt,107,311798,,,32,TRUE,,,,,,,,,,,,
330,image-cpt,108,314509,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,109,317745,,,null,FALSE,,,,,,,,,,,,
351,image-cpt,110,319470,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,111,321695,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,112,323916,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,113,327132,,,null,FALSE,,,,,,,,,,,,
421,image-cpt,114,328858,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,115,331077,,,null,FALSE,,,,,,,,,,,,
363,image-cpt,116,334303,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,117,336522,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,118,338233,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,119,340463,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,120,342705,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,121,344935,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,122,347143,,,null,FALSE,,,,,,,,,,,,
