rt,trial_type,trial_index,time_elapsed,responses,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,mobile,flash,cookies,screen_size,block,sub_block
41506,instructions,0,41508,,,,,,,,,,,,,,,,,,
6332,survey-multi-choice,1,47843,"{""Q0"":""אישה"",""Q1"":""שמאל"",""Q2"":""עברית""}",,,,,,,,,,,,,,,,,
3079,survey-text,2,50923,"{""Q0"":""23""}",,,,,,,,,,,,,,,,,
2566,survey-multi-choice,3,53491,"{""Q0"":""לא""}",,,,,,,,,,,,,,,,,
9991,survey-likert,4,63482,"{""Q0"":2}",,,,,,,,,,,,,,,,,
4520,instructions,5,68002,,,,,,,,,,,,,,,,,,
12551,survey-likert,6,80554,"{""Q0"":1,""Q1"":2,""Q2"":1}",,,,,,,,,,,,,,,,ASRS,
13215,survey-likert,7,93770,"{""Q0"":2,""Q1"":3,""Q2"":2}",,,,,,,,,,,,,,,,ASRS,
18295,survey-likert,8,112066,"{""Q0"":2,""Q1"":3,""Q2"":2}",,,,,,,,,,,,,,,,ASRS,
11607,survey-likert,9,123675,"{""Q0"":1,""Q1"":1,""Q2"":1}",,,,,,,,,,,,,,,,ASRS,
16070,survey-likert,10,139747,"{""Q0"":1,""Q1"":2,""Q2"":2}",,,,,,,,,,,,,,,,ASRS,
14431,survey-likert,11,154178,"{""Q0"":2,""Q1"":2,""Q2"":1}",,,,,,,,,,,,,,,,ASRS,
10560,instructions,12,164738,,,,,,,,,,,,,,,,,,
null,image-cpt,13,166948,,null,TRUE,,training,,,,,,,,,,,,,
381,image-cpt,14,168656,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,15,171365,,null,FALSE,,training,,,,,,,,,,,,,
316,image-cpt,16,173579,,32,TRUE,,training,,,,,,,,,,,,,
246,image-cpt,17,175791,,32,TRUE,,training,,,,,,,,,,,,,
290,image-cpt,18,178007,,32,FALSE,,training,,,,,,,,,,,,,
266,image-cpt,19,179729,,32,TRUE,,training,,,,,,,,,,,,,
272,image-cpt,20,181943,,32,TRUE,,training,,,,,,,,,,,,,
250,image-cpt,21,184651,,32,TRUE,,training,,,,,,,,,,,,,
277,image-cpt,22,187871,,32,FALSE,,training,,,,,,,,,,,,,
370,image-cpt,23,190579,,32,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,24,193786,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,25,195506,,null,FALSE,,training,,,,,,,,,,,,,
318,image-cpt,26,198215,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,27,199937,,null,FALSE,,training,,,,,,,,,,,,,
304,image-cpt,28,201657,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,29,204877,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,30,206597,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,31,209817,,null,FALSE,,training,,,,,,,,,,,,,
344,image-cpt,32,212527,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,33,214245,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,34,216461,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,35,218677,,null,FALSE,,training,,,,,,,,,,,,,
7173,instructions,36,225850,,,,,,,,,,,,,,,,,,
343,image-cpt,37,228563,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,38,231274,,null,FALSE,,,,,,,,,,,,,,,
359,image-cpt,39,232995,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,40,236211,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,41,238429,,null,FALSE,,,,,,,,,,,,,,,
293,image-cpt,42,241140,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,43,243355,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,44,245077,,null,FALSE,,,,,,,,,,,,,,,
301,image-cpt,45,247785,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,46,250495,,null,FALSE,,,,,,,,,,,,,,,
307,image-cpt,47,253203,,32,TRUE,,,,,,,,,,,,,,,
302,image-cpt,48,255419,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,49,257139,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,50,258861,,null,FALSE,,,,,,,,,,,,,,,
276,image-cpt,51,262075,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,52,264291,,null,FALSE,,,,,,,,,,,,,,,
319,image-cpt,53,267510,,32,TRUE,,,,,,,,,,,,,,,
331,image-cpt,54,270219,,32,TRUE,,,,,,,,,,,,,,,
294,image-cpt,55,272929,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,56,275143,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,57,276862,,null,FALSE,,,,,,,,,,,,,,,
356,image-cpt,58,278581,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,59,281798,,null,FALSE,,,,,,,,,,,,,,,
300,image-cpt,60,283503,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,61,286725,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,62,288446,,null,FALSE,,,,,,,,,,,,,,,
323,image-cpt,63,290168,,32,TRUE,,,,,,,,,,,,,,,
281,image-cpt,64,291887,,32,TRUE,,,,,,,,,,,,,,,
