rt,trial_type,trial_index,time_elapsed,responses,name,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,is_fullscreen,trial_began,os,browser,mobile,screen_size,block,sub_block
null,image-cpt,89,312123,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,90,314849,,,null,TRUE,,,,,,,,,,,,
1925,image-cpt,91,317067,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,92,319289,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,93,321018,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,94,324255,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,95,326967,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,96,330203,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,97,332438,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,98,335654,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,99,337875,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,100,339592,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,101,341308,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,102,343515,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,103,346232,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,104,349452,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,105,351668,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,106,354896,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,107,357135,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,108,358842,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,109,360559,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,110,362793,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,111,365009,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,112,366733,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,113,368964,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,114,371687,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,115,373906,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,116,375639,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,117,377860,,,null,TRUE,,,,,,,,,,,,
null,image-cpt,118,379598,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,119,382312,,,null,TRUE,,,,,,,,,,,,
