rt,trial_type,trial_index,time_elapsed,responses,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,mobile,flash,cookies,screen_size,block,sub_block
null,image-cpt,234,927536,,null,FALSE,,,,,,,,,,,,,,,
413,image-cpt,235,929751,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,236,931963,,null,FALSE,,,,,,,,,,,,,,,
417,image-cpt,237,935184,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,238,937892,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,239,939615,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,240,941335,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,241,944042,,null,FALSE,,,,,,,,,,,,,,,
579,image-cpt,242,946254,,32,TRUE,,,,,,,,,,,,,,,
575,image-cpt,243,948975,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,244,951190,,null,FALSE,,,,,,,,,,,,,,,
663,image-cpt,245,953404,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,246,956624,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,247,958841,,null,FALSE,,,,,,,,,,,,,,,
1283,image-cpt,248,961554,,32,TRUE,,,,,,,,,,,,,,,
105811,instructions,249,1067365,,,,,,,,,,,,,,,,,,
-1,bRMS,250,1077392,,-1,,,training,0,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
17961.5,bRMS,251,1085417,,Q,,,training,0,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
-1,bRMS,252,1087825,,-1,,,training,1,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
12272,bRMS,253,1090153,,Q,,,training,1,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
8495.6,bRMS,254,1094408,,Q,,,training,1,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
9572.4,bRMS,255,1100217,,P,,,training,1,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
7684.2,bRMS,256,1102584,,P,,,training,0,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
4139.8,bRMS,257,1104855,,Q,,,training,0,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
3305.5,bRMS,258,1106375,,P,,,training,1,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
3365.8,bRMS,259,1108712,,Q,,,training,0,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
6936,instructions,260,1116061,,,,,,,,,,,,,,,,,,
-1,bRMS,261,1116808,,-1,,,,1,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
11336.8,bRMS,262,1118201,,P,,,,1,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
3288.7,bRMS,263,1119433,,Q,,,,0,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
1994.8,bRMS,264,1120680,,P,,,,1,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
1978.3,bRMS,265,1121897,,P,,,,0,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
2246.1,bRMS,266,1123416,,Q,,,,0,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
2666.3,bRMS,267,1125048,,Q,,,,1,400,1,TRUE,0,Windows 10,Chrome 100 (100.0.4896.60),FALSE,no check,TRUE,,63,63
