rt,trial_type,trial_index,time_elapsed,responses,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,mobile,flash,cookies,screen_size,block,sub_block
null,image-cpt,97,398915,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,98,402139,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,99,405374,,null,FALSE,,,,,,,,,,,,,,,
489,image-cpt,100,408603,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,101,411312,,null,FALSE,,,,,,,,,,,,,,,
406,image-cpt,102,413021,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,103,416237,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,104,419466,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,105,422182,,null,FALSE,,,,,,,,,,,,,,,
384,image-cpt,106,425425,,32,TRUE,,,,,,,,,,,,,,,
533,image-cpt,107,427646,,32,TRUE,,,,,,,,,,,,,,,
440,image-cpt,108,429865,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,109,433091,,null,FALSE,,,,,,,,,,,,,,,
388,image-cpt,110,434820,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,111,436536,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,112,439756,,null,FALSE,,,,,,,,,,,,,,,
411,image-cpt,113,442970,,32,TRUE,,,,,,,,,,,,,,,
365,image-cpt,114,445184,,32,TRUE,,,,,,,,,,,,,,,
486,image-cpt,115,447403,,32,TRUE,,,,,,,,,,,,,,,
556,image-cpt,116,449140,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,117,451364,,null,FALSE,,,,,,,,,,,,,,,
482,image-cpt,118,454081,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,119,457298,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,120,460011,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,121,462734,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,122,464944,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,123,467658,,null,FALSE,,,,,,,,,,,,,,,
476,image-cpt,124,469886,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,125,472115,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,126,473845,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,127,476063,,null,FALSE,,,,,,,,,,,,,,,
888,image-cpt,128,477787,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,129,479529,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,130,482756,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,131,484482,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,132,486199,,null,FALSE,,,,,,,,,,,,,,,
479,image-cpt,133,489422,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,134,492133,,null,FALSE,,,,,,,,,,,,,,,
433,image-cpt,135,493850,,32,TRUE,,,,,,,,,,,,,,,
556,image-cpt,136,496573,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,137,499803,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,138,503025,,null,FALSE,,,,,,,,,,,,,,,
421,image-cpt,139,505260,,32,TRUE,,,,,,,,,,,,,,,
523,image-cpt,140,508489,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,141,511714,,null,FALSE,,,,,,,,,,,,,,,
581,image-cpt,142,514427,,32,TRUE,,,,,,,,,,,,,,,
