rt,trial_type,trial_index,time_elapsed,responses,name,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,is_fullscreen,trial_began,os,browser,mobile,screen_size,block,sub_block
24577,instructions,0,24577,,,,,,,,,,,,,,,,
8325,survey-multi-choice,1,32905,"{""Q0"":""אישה"",""Q1"":""ימין"",""Q2"":""אחר""}",,,,,,,,,,,,,,,
3335,survey-text,2,36241,"{""Q0"":""25""}",,,,,,,,,,,,,,,
7311,survey-multi-choice,3,43552,"{""Q0"":""לא""}",,,,,,,,,,,,,,,
13703,survey-likert,4,57256,"{""Q0"":2}",attention_2,,,,,,,,,,,,,,
10911,instructions,5,68168,,,,,,,,,,,,,,,,
null,image-cpt,6,69898,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,7,72632,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,8,74866,,,null,TRUE,,training,,,,,,,,,,
629,image-cpt,9,78075,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,10,79812,,,null,FALSE,,training,,,,,,,,,,
355,image-cpt,11,83036,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,12,86253,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,13,87962,,,null,FALSE,,training,,,,,,,,,,
397,image-cpt,14,91187,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,15,93409,,,null,FALSE,,training,,,,,,,,,,
406,image-cpt,16,95631,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,17,98341,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,18,101077,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,19,103806,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,20,105541,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,21,108763,,,null,FALSE,,training,,,,,,,,,,
443,image-cpt,22,111989,,,32,TRUE,,training,,,,,,,,,,
483,image-cpt,23,114700,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,24,116423,,,null,FALSE,,training,,,,,,,,,,
528,image-cpt,25,118649,,,32,TRUE,,training,,,,,,,,,,
334,image-cpt,26,121879,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,27,124100,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,28,126334,,,null,TRUE,,training,,,,,,,,,,
3737,instructions,29,130072,,,,,,,,,,,,,,,,
null,image-cpt,30,133293,,,null,FALSE,,,,,,,,,,,,
394,image-cpt,31,136014,,,32,TRUE,,,,,,,,,,,,
425,image-cpt,32,138738,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,33,141969,,,null,FALSE,,,,,,,,,,,,
278,image-cpt,34,143712,,,32,TRUE,,,,,,,,,,,,
535,image-cpt,35,146436,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,36,149171,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,37,150889,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,38,153608,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,39,156325,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,40,158043,,,null,FALSE,,,,,,,,,,,,
493,image-cpt,41,159770,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,42,161988,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,43,164701,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,44,166426,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,45,168154,,,null,FALSE,,,,,,,,,,,,
