rt,trial_type,trial_index,time_elapsed,responses,name,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,is_fullscreen,trial_began,os,browser,mobile,screen_size,block,sub_block
4724,instructions,0,4725,,,,,,,,,,,,,,,,
6957,survey-multi-choice,1,11685,"{""Q0"":""גבר"",""Q1"":""ימין"",""Q2"":""אחר""}",,,,,,,,,,,,,,,
2623,survey-text,2,14308,"{""Q0"":""25""}",,,,,,,,,,,,,,,
2191,survey-multi-choice,3,16501,"{""Q0"":""לא""}",,,,,,,,,,,,,,,
4255,survey-likert,4,20757,"{""Q0"":0}",attention_2,,,,,,,,,,,,,,
8350,instructions,5,29108,,,,,,,,,,,,,,,,
1192,image-cpt,6,32334,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,7,34053,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,8,36781,,,null,FALSE,,training,,,,,,,,,,
398,image-cpt,9,38990,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,10,40727,,,null,FALSE,,training,,,,,,,,,,
308,image-cpt,11,43451,,,32,TRUE,,training,,,,,,,,,,
287,image-cpt,12,45171,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,13,47390,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,14,50611,,,null,FALSE,,training,,,,,,,,,,
312,image-cpt,15,53827,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,16,57065,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,17,59791,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,18,61519,,,null,FALSE,,training,,,,,,,,,,
380,image-cpt,19,64742,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,20,66968,,,null,FALSE,,training,,,,,,,,,,
339,image-cpt,21,68688,,,32,TRUE,,training,,,,,,,,,,
395,image-cpt,22,70406,,,32,TRUE,,training,,,,,,,,,,
229,image-cpt,23,72625,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,24,75338,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,25,77542,,,null,FALSE,,training,,,,,,,,,,
357,image-cpt,26,79258,,,32,TRUE,,training,,,,,,,,,,
null,image-cpt,27,82474,,,null,FALSE,,training,,,,,,,,,,
337,image-cpt,28,85191,,,32,FALSE,,training,,,,,,,,,,
2269,instructions,29,87460,,,,,,,,,,,,,,,,
null,image-cpt,30,89180,,,null,FALSE,,,,,,,,,,,,
272,image-cpt,31,90900,,,32,TRUE,,,,,,,,,,,,
247,image-cpt,32,92626,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,33,95346,,,null,FALSE,,,,,,,,,,,,
null,image-cpt,34,98073,,,null,FALSE,,,,,,,,,,,,
258,image-cpt,35,99813,,,32,TRUE,,,,,,,,,,,,
311,image-cpt,36,101527,,,32,TRUE,,,,,,,,,,,,
277,image-cpt,37,103247,,,32,TRUE,,,,,,,,,,,,
null,image-cpt,38,106466,,,null,FALSE,,,,,,,,,,,,
