rt,trial_type,trial_index,time_elapsed,responses,name,stimulus,stimulus_block,stimulus_side,key_press,time_post_trial,is_fullscreen,correct,trial_began,block,sub_block,is_stimulus
23902.0,instructions,0,23902,,,,,,,,,,,,,
6126.0,survey-multi-choice,1,30030,"{""Q0"":""אישה"",""Q1"":""ימין"",""Q2"":""עברית""}",,,,,,,,,,,,
6760.0,survey-text,2,36790,"{""Q0"":""23"",""Q1"":""7""}",,,,,,,,,,,,
2231.0,survey-multi-choice,3,39022,"{""Q0"":""לא""}",,,,,,,,,,,,
15416.0,survey-likert,4,54438,"{""Q0"":2}",attention_2,,,,,,,,,,,
73607.0,instructions,5,128046,,,,,,,,,,,,,
-1.0,bRMS,6,138398,,,images/rms/f42887_e_001.jpg,training,0.0,-1,400.0,False,False,0.0,63.0,63.0,
2865.70000000298,bRMS,7,142062,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
994.0,bRMS,8,143829,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
2042.0,bRMS,9,146645,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
903.5,bRMS,10,148325,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
1097.2999999970198,bRMS,11,150197,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
761.7999999970198,bRMS,12,151741,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
769.5999999940395,bRMS,13,153293,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,False,True,0.0,63.0,63.0,
1009.9000000059604,bRMS,14,155077,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1578.5,bRMS,15,157430,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
952.7999999970198,bRMS,16,159158,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
713.0,bRMS,17,160645,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1417.5,bRMS,18,162845,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
2001.0,bRMS,19,165630,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
671.2999999970198,bRMS,20,167077,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
602.1000000089407,bRMS,21,168461,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,False,True,0.0,63.0,63.0,
5744.0,instructions,22,174614,,,,,,,,,,,,,
2355.199999988079,bRMS,23,177328,,,images/rms/f42887_e_072_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
3169.5,bRMS,24,181278,,,images/rms/f42887_e_258.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
2081.800000011921,bRMS,25,184129,,,images/rms/f42887_e_103_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
891.9000000059605,bRMS,26,185795,,,images/rms/f42887_e_252.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1585.199999988079,bRMS,27,188146,,,images/rms/f42887_e_297_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
639.6000000089407,bRMS,28,189557,,,images/rms/f42887_e_025.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
777.4000000059605,bRMS,29,191110,,,images/rms/f42887_e_161_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1497.5,bRMS,30,193390,,,images/rms/f42887_e_005_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
1073.4000000059605,bRMS,31,195245,,,images/rms/f42887_e_015_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
1279.8999999910593,bRMS,32,197302,,,images/rms/f42887_e_098_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
770.0,bRMS,33,198853,,,images/rms/f42887_e_241.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
1521.2000000029802,bRMS,34,201141,,,images/rms/f42887_e_156.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
505.3000000119209,bRMS,35,202422,,,images/rms/f42887_e_295_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
1144.0,bRMS,36,204342,,,images/rms/f42887_e_278_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
522.2000000029802,bRMS,37,205638,,,images/rms/f42887_e_180_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
968.5999999940396,bRMS,38,207378,,,images/rms/f42887_e_298_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1377.4000000059605,bRMS,39,209526,,,images/rms/f42887_e_080_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1193.2999999970198,bRMS,40,211509,,,images/rms/f42887_e_296.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
1192.7999999970198,bRMS,41,213477,,,images/rms/f42887_e_156_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1416.9000000059605,bRMS,42,215669,,,images/rms/f42887_e_245_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
2113.70000000298,bRMS,43,218574,,,images/rms/f42887_e_001_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1360.3999999910593,bRMS,44,220710,,,images/rms/f42887_e_245.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1291.9000000059605,bRMS,45,222790,,,images/rms/f42887_e_295.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
1028.0,bRMS,46,224621,,,images/rms/f42887_e_058_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1329.4000000059605,bRMS,47,226725,,,images/rms/f42887_e_121_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1193.2999999970198,bRMS,48,228701,,,images/rms/f42887_e_140.jpg,main,0.0,P,400.0,False,True,0.0,63.0,63.0,
823.8999999910593,bRMS,49,230294,,,images/rms/f42887_e_025_1.jpg,reversed,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1085.699999988079,bRMS,50,232174,,,images/rms/f42887_e_028.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
1710.7999999970198,bRMS,51,234659,,,images/rms/f42887_e_289.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
889.4000000059605,bRMS,52,236325,,,images/rms/f42887_e_293_1.jpg,reversed,0.0,P,400.0,False,True,0.0,63.0,63.0,
1109.9000000059605,bRMS,53,238221,,,images/rms/f42887_e_278.jpg,main,1.0,Q,400.0,False,True,0.0,63.0,63.0,
