rt,trial_type,trial_index,time_elapsed,responses,name,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,is_fullscreen,correct,trial_began,block,sub_block
19755.0,instructions,0,19756,,,,,,,,,,,,,
4870.0,survey-multi-choice,1,24628,"{""Q0"":""אישה"",""Q1"":""ימין"",""Q2"":""עברית""}",,,,,,,,,,,,
5575.0,survey-text,2,30203,"{""Q0"":""24"",""Q1"":""19""}",,,,,,,,,,,,
2663.0,survey-multi-choice,3,32867,"{""Q0"":""לא""}",,,,,,,,,,,,
7511.0,survey-likert,4,40379,"{""Q0"":3}",attention_2,,,,,,,,,,,
10850.0,instructions,5,51229,,,,,,,,,,,,,
,image-cpt,6,54875,,,,False,,,,,,,,,
408.0,image-cpt,7,57010,,,32,True,,,,,,,,,
306.0,image-cpt,8,60661,,,32,False,,,,,,,,,
,image-cpt,9,63808,,,,False,,,,,,,,,
,image-cpt,10,66441,,,,False,,,,,,,,,
394.0,image-cpt,11,69576,,,32,False,,,,,,,,,
492.0,image-cpt,12,72708,,,32,True,,,,,,,,,
544.0,image-cpt,13,75341,,,32,True,,,,,,,,,
527.0,image-cpt,14,77976,,,32,True,,,,,,,,,
,image-cpt,15,81609,,,,False,,,,,,,,,
,image-cpt,16,83757,,,,False,,,,,,,,,
,image-cpt,17,87407,,,,False,,,,,,,,,
,image-cpt,18,88441,,,,False,,,,,,,,,
,image-cpt,19,91091,,,,False,,,,,,,,,
,image-cpt,20,93224,,,,False,,,,,,,,,
3380.0,instructions,21,96605,,,,,,,,,,,,,
,image-cpt,22,98757,,,,False,,,,,,,,,
,image-cpt,23,100890,,,,False,,,,,,,,,
418.0,image-cpt,24,103528,,,32,True,,,,,,,,,
434.0,image-cpt,25,106673,,,32,True,,,,,,,,,
,image-cpt,26,109323,,,,False,,,,,,,,,
416.0,image-cpt,27,112458,,,32,True,,,,,,,,,
,image-cpt,28,115107,,,,False,,,,,,,,,
,image-cpt,29,117757,,,,False,,,,,,,,,
,image-cpt,30,119906,,,,False,,,,,,,,,
,image-cpt,31,122041,,,,False,,,,,,,,,
378.0,image-cpt,32,125674,,,32,True,,,,,,,,,
377.0,image-cpt,33,129307,,,32,True,,,,,,,,,
,image-cpt,34,132439,,,,False,,,,,,,,,
,image-cpt,35,136089,,,,False,,,,,,,,,
,image-cpt,36,138739,,,,False,,,,,,,,,
408.0,image-cpt,37,140873,,,32,True,,,,,,,,,
,image-cpt,38,143023,,,,False,,,,,,,,,
,image-cpt,39,146657,,,,False,,,,,,,,,
521.0,image-cpt,40,150289,,,32,True,,,,,,,,,
,image-cpt,41,152438,,,,False,,,,,,,,,
507.0,image-cpt,42,156072,,,32,True,,,,,,,,,
,image-cpt,43,158706,,,,False,,,,,,,,,
303.0,image-cpt,44,161855,,,32,True,,,,,,,,,
,image-cpt,45,164489,,,,False,,,,,,,,,
,image-cpt,46,167638,,,,False,,,,,,,,,
324.0,image-cpt,47,170789,,,32,True,,,,,,,,,
,image-cpt,48,173940,,,,False,,,,,,,,,
,image-cpt,49,177074,,,,False,,,,,,,,,
288.0,image-cpt,50,180223,,,32,True,,,,,,,,,
,image-cpt,51,182372,,,,False,,,,,,,,,
,image-cpt,52,185507,,,,False,,,,,,,,,
,image-cpt,53,188140,,,,False,,,,,,,,,
,image-cpt,54,190788,,,,False,,,,,,,,,
,image-cpt,55,193438,,,,False,,,,,,,,,
308.0,image-cpt,56,195588,,,32,True,,,,,,,,,
,image-cpt,57,197707,,,,False,,,,,,,,,
,image-cpt,58,199855,,,,False,,,,,,,,,
,image-cpt,59,202990,,,,False,,,,,,,,,
,image-cpt,60,205639,,,,False,,,,,,,,,
,image-cpt,61,208288,,,,False,,,,,,,,,
,image-cpt,62,210938,,,,False,,,,,,,,,
441.0,image-cpt,63,214087,,,32,True,,,,,,,,,
,image-cpt,64,217238,,,,False,,,,,,,,,
339.0,image-cpt,65,219372,,,32,True,,,,,,,,,
,image-cpt,66,222020,,,,False,,,,,,,,,
,image-cpt,67,224155,,,,False,,,,,,,,,
,image-cpt,68,226789,,,,False,,,,,,,,,
397.0,image-cpt,69,228937,,,32,True,,,,,,,,,
,image-cpt,70,231574,,,,False,,,,,,,,,
,image-cpt,71,235206,,,,False,,,,,,,,,
,image-cpt,72,237340,,,,False,,,,,,,,,
,image-cpt,73,239488,,,,False,,,,,,,,,
,image-cpt,74,241638,,,,False,,,,,,,,,
349.0,image-cpt,75,244775,,,32,True,,,,,,,,,
411.0,image-cpt,76,247422,,,32,True,,,,,,,,,
,image-cpt,77,248455,,,,False,,,,,,,,,
476.0,image-cpt,78,252105,,,32,True,,,,,,,,,
,image-cpt,79,255239,,,,False,,,,,,,,,
,image-cpt,80,258888,,,,False,,,,,,,,,
,image-cpt,81,261038,,,,False,,,,,,,,,
516.0,image-cpt,82,263172,,,32,True,,,,,,,,,
,image-cpt,83,266320,,,,False,,,,,,,,,
,image-cpt,84,269456,,,,False,,,,,,,,,
427.0,image-cpt,85,273103,,,32,True,,,,,,,,,
,image-cpt,86,276239,,,,False,,,,,,,,,
,image-cpt,87,278887,,,,False,,,,,,,,,
,image-cpt,88,281036,,,,False,,,,,,,,,
413.0,image-cpt,89,283187,,,32,True,,,,,,,,,
527.0,image-cpt,90,285337,,,32,True,,,,,,,,,
,image-cpt,91,288487,,,,False,,,,,,,,,
,image-cpt,92,292138,,,,False,,,,,,,,,
401.0,image-cpt,93,295272,,,32,True,,,,,,,,,
,image-cpt,94,297922,,,,False,,,,,,,,,
,image-cpt,95,301571,,,,False,,,,,,,,,
457.0,image-cpt,96,303721,,,32,True,,,,,,,,,
497.0,image-cpt,97,306371,,,32,True,,,,,,,,,
