rt,trial_type,trial_index,time_elapsed,responses,name,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,is_fullscreen,correct,trial_began,block,sub_block
39588.0,instructions,0,39589,,,,,,,,,,,,,
5109.0,survey-multi-choice,1,44701,"{""Q0"":""אישה"",""Q1"":""ימין"",""Q2"":""עברית""}",,,,,,,,,,,,
5599.0,survey-text,2,50300,"{""Q0"":""24"",""Q1"":""18""}",,,,,,,,,,,,
2487.0,survey-multi-choice,3,52789,"{""Q0"":""לא""}",,,,,,,,,,,,
5823.0,survey-likert,4,58612,"{""Q0"":4}",attention_2,,,,,,,,,,,
4688.0,instructions,5,63300,,,,,,,,,,,,,
,image-cpt,6,64313,,,,False,,,,,,,,,
,image-cpt,7,66941,,,,False,,,,,,,,,
,image-cpt,8,70058,,,,False,,,,,,,,,
,image-cpt,9,72701,,,,False,,,,,,,,,
430.0,image-cpt,10,75824,,,32,True,,,,,,,,,
378.0,image-cpt,11,79457,,,32,True,,,,,,,,,
,image-cpt,12,82589,,,,False,,,,,,,,,
494.0,image-cpt,13,84739,,,32,False,,,,,,,,,
,image-cpt,14,88373,,,,False,,,,,,,,,
534.0,image-cpt,15,91507,,,32,True,,,,,,,,,
,image-cpt,16,93655,,,,False,,,,,,,,,
,image-cpt,17,96305,,,,False,,,,,,,,,
378.0,image-cpt,18,99940,,,32,True,,,,,,,,,
,image-cpt,19,102588,,,,False,,,,,,,,,
,image-cpt,20,106222,,,,False,,,,,,,,,
15734.0,instructions,21,121956,,,,,,,,,,,,,
,image-cpt,22,125586,,,,False,,,,,,,,,
,image-cpt,23,128235,,,,False,,,,,,,,,
,image-cpt,24,131885,,,,False,,,,,,,,,
,image-cpt,25,135035,,,,False,,,,,,,,,
,image-cpt,26,137685,,,,False,,,,,,,,,
,image-cpt,27,141335,,,,False,,,,,,,,,
,image-cpt,28,143485,,,,False,,,,,,,,,
,image-cpt,29,147134,,,,False,,,,,,,,,
,image-cpt,30,150768,,,,False,,,,,,,,,
,image-cpt,31,153401,,,,False,,,,,,,,,
,image-cpt,32,155551,,,,False,,,,,,,,,
429.0,image-cpt,33,158184,,,32,True,,,,,,,,,
548.0,image-cpt,34,160817,,,32,True,,,,,,,,,
571.0,image-cpt,35,163467,,,32,True,,,,,,,,,
,image-cpt,36,166117,,,,False,,,,,,,,,
487.0,image-cpt,37,168267,,,32,True,,,,,,,,,
,image-cpt,38,170917,,,,False,,,,,,,,,
,image-cpt,39,173566,,,,False,,,,,,,,,
541.0,image-cpt,40,175716,,,32,True,,,,,,,,,
,image-cpt,41,179366,,,,False,,,,,,,,,
,image-cpt,42,181516,,,,False,,,,,,,,,
,image-cpt,43,184649,,,,False,,,,,,,,,
,image-cpt,44,188299,,,,False,,,,,,,,,
,image-cpt,45,190432,,,,False,,,,,,,,,
,image-cpt,46,192582,,,,False,,,,,,,,,
422.0,image-cpt,47,195732,,,32,True,,,,,,,,,
584.0,image-cpt,48,197865,,,32,True,,,,,,,,,
,image-cpt,49,200015,,,,False,,,,,,,,,
,image-cpt,50,202648,,,,False,,,,,,,,,
500.0,image-cpt,51,205798,,,32,True,,,,,,,,,
486.0,image-cpt,52,207948,,,32,True,,,,,,,,,
,image-cpt,53,210598,,,,False,,,,,,,,,
,image-cpt,54,213748,,,,False,,,,,,,,,
,image-cpt,55,217397,,,,False,,,,,,,,,
599.0,image-cpt,56,219530,,,32,True,,,,,,,,,
,image-cpt,57,223180,,,,False,,,,,,,,,
511.0,image-cpt,58,225330,,,32,True,,,,,,,,,
,image-cpt,59,227980,,,,False,,,,,,,,,
559.0,image-cpt,60,230630,,,32,True,,,,,,,,,
,image-cpt,61,234263,,,,False,,,,,,,,,
,image-cpt,62,236896,,,,False,,,,,,,,,
427.0,image-cpt,63,239546,,,32,True,,,,,,,,,
,image-cpt,64,243196,,,,False,,,,,,,,,
496.0,image-cpt,65,246346,,,32,True,,,,,,,,,
434.0,image-cpt,66,248996,,,32,False,,,,,,,,,
504.0,image-cpt,67,251129,,,32,True,,,,,,,,,
,image-cpt,68,253279,,,,False,,,,,,,,,
,image-cpt,69,256912,,,,False,,,,,,,,,
,image-cpt,70,260062,,,,False,,,,,,,,,
494.0,image-cpt,71,262695,,,32,True,,,,,,,,,
