rt,trial_type,trial_index,time_elapsed,responses,name,stimulus,stimulus_block,stimulus_side,key_press,time_post_trial,is_fullscreen,correct,trial_began,block,sub_block,is_stimulus
47361.0,instructions,0,47361,,,,,,,,,,,,,
5756.0,survey-multi-choice,1,53121,"{""Q0"":""גבר"",""Q1"":""שמאל"",""Q2"":""עברית""}",,,,,,,,,,,,
4262.0,survey-text,2,57384,"{""Q0"":""23"",""Q1"":""44""}",,,,,,,,,,,,
2775.0,survey-multi-choice,3,60160,"{""Q0"":""לא""}",,,,,,,,,,,,
7311.0,survey-likert,4,67473,"{""Q0"":1}",attention_2,,,,,,,,,,,
33159.0,instructions,5,100632,,,,,,,,,,,,,
-1.0,bRMS,6,110987,,,images/rms/f42887_e_001.jpg,training,0.0,-1,400.0,True,False,0.0,63.0,63.0,
-1.0,bRMS,7,121771,,,images/rms/f42887_e_001.jpg,training,1.0,-1,400.0,True,False,0.0,63.0,63.0,
-1.0,bRMS,8,132562,,,images/rms/f42887_e_001.jpg,training,1.0,-1,400.0,True,False,0.0,63.0,63.0,
973.2999997138976,bRMS,9,134347,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
3037.4000000953674,bRMS,10,138187,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1682.2999997138977,bRMS,11,140691,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1149.3000001907349,bRMS,12,142627,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
2340.800000190735,bRMS,13,145772,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1231.2999997138977,bRMS,14,147819,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1289.6000003814695,bRMS,15,149915,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1445.6000003814695,bRMS,16,152152,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1796.5,bRMS,17,154736,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
2376.6000003814697,bRMS,18,157916,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1064.8000001907349,bRMS,19,159787,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
927.0,bRMS,20,161506,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
818.0,bRMS,21,163145,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
5110.0,instructions,22,168656,,,,,,,,,,,,,
2049.2000002861023,bRMS,23,171092,,,images/rms/f42887_e_202.jpg,main,0.0,P,400.0,True,True,0.0,63.0,63.0,
