rt,trial_type,trial_index,time_elapsed,responses,name,stimulus,stimulus_block,stimulus_side,key_press,time_post_trial,is_fullscreen,correct,trial_began,block,sub_block,is_stimulus
385711.0,instructions,0,385713,,,,,,,,,,,,,
9964.0,survey-multi-choice,1,395681,"{""Q0"":""אישה"",""Q1"":""שמאל"",""Q2"":""אחר""}",,,,,,,,,,,,
7567.0,survey-text,2,403248,"{""Q0"":""26"",""Q1"":""51""}",,,,,,,,,,,,
3167.0,survey-multi-choice,3,406416,"{""Q0"":""כן""}",,,,,,,,,,,,
7223.0,survey-likert,4,413641,"{""Q0"":7}",attention_2,,,,,,,,,,,
48815.0,instructions,5,462456,,,,,,,,,,,,,
-1.0,bRMS,6,472793,,,images/rms/f42887_e_001.jpg,training,0.0,-1,400.0,True,False,0.0,63.0,63.0,
-1.0,bRMS,7,483547,,,images/rms/f42887_e_001.jpg,training,1.0,-1,400.0,True,False,0.0,63.0,63.0,
8286.60000038147,bRMS,8,492635,,,images/rms/f42887_e_001.jpg,training,0.0,Q,400.0,True,False,0.0,63.0,63.0,
-1.0,bRMS,9,503395,,,images/rms/f42887_e_001.jpg,training,1.0,-1,400.0,True,False,0.0,63.0,63.0,
-1.0,bRMS,10,514156,,,images/rms/f42887_e_001.jpg,training,1.0,-1,400.0,True,False,0.0,63.0,63.0,
1517.5,bRMS,11,516478,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
2616.599999904633,bRMS,12,519907,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
3900.39999961853,bRMS,13,524611,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
5492.400000095367,bRMS,14,530891,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1626.8999996185305,bRMS,15,533316,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1589.0999999046326,bRMS,16,535713,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
915.8999996185304,bRMS,17,537442,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1140.5,bRMS,18,539395,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
2221.099999904633,bRMS,19,542414,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1626.0,bRMS,20,544851,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1573.8999996185305,bRMS,21,547226,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
9788.0,instructions,22,557432,,,,,,,,,,,,,
1802.2000002861023,bRMS,23,559620,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1124.2999997138977,bRMS,24,561538,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1465.2000002861023,bRMS,25,563788,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1212.5,bRMS,26,565788,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1291.3000001907349,bRMS,27,567892,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1208.7000002861023,bRMS,28,569891,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1045.3999996185305,bRMS,29,571740,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1452.6999998092651,bRMS,30,574003,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1570.6999998092651,bRMS,31,576387,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1487.2999997138977,bRMS,32,578676,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1538.6999998092651,bRMS,33,581020,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1661.5,bRMS,34,583481,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1706.0,bRMS,35,585988,,,images/rms/f42887_e_001.jpg,training,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1043.5,bRMS,36,587812,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1235.2000002861023,bRMS,37,589856,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
1220.2999997138977,bRMS,38,591863,,,images/rms/f42887_e_001.jpg,training,0.0,P,400.0,True,True,0.0,63.0,63.0,
4562.0,instructions,39,596840,,,,,,,,,,,,,
1953.8000001907349,bRMS,40,599179,,,images/rms/f42887_e_296.jpg,main,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1165.6999998092651,bRMS,41,601147,,,images/rms/f42887_e_080_1.jpg,reversed,0.0,P,400.0,True,True,0.0,63.0,63.0,
1618.5999999046326,bRMS,42,603556,,,images/rms/f42887_e_098_1.jpg,reversed,1.0,Q,400.0,True,True,0.0,63.0,63.0,
2232.699999809265,bRMS,43,606584,,,images/rms/f42887_e_058.jpg,main,1.0,Q,400.0,True,True,0.0,63.0,63.0,
1894.7999997138977,bRMS,44,609275,,,images/rms/f42887_e_180.jpg,main,0.0,P,400.0,True,True,0.0,63.0,63.0,
1885.400000095368,bRMS,45,611959,,,images/rms/f42887_e_241.jpg,main,1.0,Q,400.0,True,True,0.0,63.0,63.0,
824.0999999046326,bRMS,46,613580,,,images/rms/f42887_e_296_1.jpg,reversed,0.0,P,400.0,True,True,0.0,63.0,63.0,
