rt,trial_type,trial_index,time_elapsed,responses,name,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,is_fullscreen,correct,trial_began,block,sub_block
563649.0,instructions,0,563649,,,,,,,,,,,,,
13790.0,survey-multi-choice,1,577441,"{""Q0"":""אישה"",""Q1"":""ימין"",""Q2"":""עברית""}",,,,,,,,,,,,
5967.0,survey-text,2,583409,"{""Q0"":""24"",""Q1"":""32""}",,,,,,,,,,,,
2631.0,survey-multi-choice,3,586041,"{""Q0"":""לא""}",,,,,,,,,,,,
8880.0,survey-likert,4,594921,"{""Q0"":1}",attention_2,,,,,,,,,,,
21480.0,instructions,5,616401,,,,,,,,,,,,,
1520.0,image-cpt,6,620022,,,32,True,,,,,,,,,
,image-cpt,7,622673,,,,False,,,,,,,,,
,image-cpt,8,625322,,,,False,,,,,,,,,
,image-cpt,9,628457,,,,False,,,,,,,,,
,image-cpt,10,630613,,,,False,,,,,,,,,
,image-cpt,11,633740,,,,False,,,,,,,,,
644.0,image-cpt,12,636388,,,32,True,,,,,,,,,
492.0,image-cpt,13,639038,,,32,True,,,,,,,,,
,image-cpt,14,642673,,,,False,,,,,,,,,
,image-cpt,15,645806,,,,False,,,,,,,,,
,image-cpt,16,647955,,,,False,,,,,,,,,
557.0,image-cpt,17,651104,,,32,True,,,,,,,,,
,image-cpt,18,654736,,,,False,,,,,,,,,
,image-cpt,19,658372,,,,False,,,,,,,,,
,image-cpt,20,659428,,,,False,,,,,,,,,
7420.0,instructions,21,666849,,,,,,,,,,,,,
,image-cpt,22,669982,,,,False,,,,,,,,,
,image-cpt,23,672119,,,,False,,,,,,,,,
,image-cpt,24,675269,,,,False,,,,,,,,,
,image-cpt,25,678918,,,,False,,,,,,,,,
,image-cpt,26,682060,,,,False,,,,,,,,,
,image-cpt,27,685185,,,,False,,,,,,,,,
,image-cpt,28,688335,,,,False,,,,,,,,,
418.0,image-cpt,29,690986,,,32,True,,,,,,,,,
455.0,image-cpt,30,693635,,,32,True,,,,,,,,,
,image-cpt,31,695785,,,,False,,,,,,,,,
456.0,image-cpt,32,697934,,,32,True,,,,,,,,,
,image-cpt,33,701568,,,,False,,,,,,,,,
,image-cpt,34,703700,,,,False,,,,,,,,,
,image-cpt,35,706334,,,,False,,,,,,,,,
,image-cpt,36,709484,,,,False,,,,,,,,,
,image-cpt,37,712634,,,,False,,,,,,,,,
,image-cpt,38,715783,,,,False,,,,,,,,,
,image-cpt,39,719433,,,,False,,,,,,,,,
,image-cpt,40,722083,,,,False,,,,,,,,,
,image-cpt,41,725733,,,,False,,,,,,,,,
396.0,image-cpt,42,727866,,,32,True,,,,,,,,,
,image-cpt,43,730016,,,,False,,,,,,,,,
320.0,image-cpt,44,732650,,,32,True,,,,,,,,,
,image-cpt,45,735799,,,,False,,,,,,,,,
,image-cpt,46,739449,,,,False,,,,,,,,,
,image-cpt,47,743082,,,,False,,,,,,,,,
,image-cpt,48,745215,,,,False,,,,,,,,,
401.0,image-cpt,49,748350,,,32,True,,,,,,,,,
,image-cpt,50,750999,,,,False,,,,,,,,,
,image-cpt,51,753648,,,,False,,,,,,,,,
,image-cpt,52,755782,,,,False,,,,,,,,,
,image-cpt,53,758431,,,,False,,,,,,,,,
,image-cpt,54,760566,,,,False,,,,,,,,,
,image-cpt,55,762715,,,,False,,,,,,,,,
,image-cpt,56,764864,,,,False,,,,,,,,,
,image-cpt,57,766998,,,,False,,,,,,,,,
,image-cpt,58,770648,,,,False,,,,,,,,,
,image-cpt,59,774298,,,,False,,,,,,,,,
,image-cpt,60,776931,,,,False,,,,,,,,,
,image-cpt,61,779081,,,,False,,,,,,,,,
456.0,image-cpt,62,782716,,,32,True,,,,,,,,,
453.0,image-cpt,63,786364,,,32,True,,,,,,,,,
,image-cpt,64,789013,,,,False,,,,,,,,,
,image-cpt,65,791663,,,,False,,,,,,,,,
,image-cpt,66,794797,,,,False,,,,,,,,,
436.0,image-cpt,67,796930,,,32,True,,,,,,,,,
,image-cpt,68,800580,,,,False,,,,,,,,,
349.0,image-cpt,69,802730,,,32,True,,,,,,,,,
342.0,image-cpt,70,805879,,,32,True,,,,,,,,,
,image-cpt,71,808013,,,,False,,,,,,,,,
,image-cpt,72,810163,,,,False,,,,,,,,,
,image-cpt,73,813296,,,,False,,,,,,,,,
,image-cpt,74,815946,,,,False,,,,,,,,,
,image-cpt,75,819596,,,,False,,,,,,,,,
357.0,image-cpt,76,823230,,,32,True,,,,,,,,,
,image-cpt,77,826379,,,,False,,,,,,,,,
,image-cpt,78,828529,,,,False,,,,,,,,,
,image-cpt,79,830662,,,,False,,,,,,,,,
,image-cpt,80,834311,,,,False,,,,,,,,,
,image-cpt,81,837460,,,,False,,,,,,,,,
444.0,image-cpt,82,839613,,,32,True,,,,,,,,,
,image-cpt,83,842261,,,,False,,,,,,,,,
,image-cpt,84,845897,,,,False,,,,,,,,,
,image-cpt,85,849044,,,,False,,,,,,,,,
,image-cpt,86,851194,,,,False,,,,,,,,,
470.0,image-cpt,87,854844,,,32,True,,,,,,,,,
517.0,image-cpt,88,858477,,,32,True,,,,,,,,,
,image-cpt,89,860627,,,,False,,,,,,,,,
,image-cpt,90,863277,,,,False,,,,,,,,,
,image-cpt,91,864310,,,,False,,,,,,,,,
,image-cpt,92,867444,,,,False,,,,,,,,,
,image-cpt,93,869593,,,,False,,,,,,,,,
