rt,trial_type,trial_index,time_elapsed,responses,name,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,is_fullscreen,correct,trial_began,block,sub_block
391970.0,instructions,0,391971,,,,,,,,,,,,,
12035.0,survey-multi-choice,1,404010,"{""Q0"":""אישה"",""Q1"":""שמאל"",""Q2"":""ערבית""}",,,,,,,,,,,,
7991.0,survey-text,2,412001,"{""Q0"":""20"",""Q1"":""1""}",,,,,,,,,,,,
5591.0,survey-multi-choice,3,417593,"{""Q0"":""לא""}",,,,,,,,,,,,
11279.0,survey-likert,4,428874,"{""Q0"":2}",attention_2,,,,,,,,,,,
19455.0,instructions,5,448329,,,,,,,,,,,,,
,image-cpt,6,451960,,,,False,,,,,,,,,
,image-cpt,7,455592,,,,False,,,,,,,,,
392.0,image-cpt,8,458726,,,32,True,,,,,,,,,
,image-cpt,9,459758,,,,False,,,,,,,,,
434.0,image-cpt,10,462893,,,32,True,,,,,,,,,
,image-cpt,11,465041,,,,False,,,,,,,,,
,image-cpt,12,467691,,,,False,,,,,,,,,
422.0,image-cpt,13,471326,,,32,False,,,,,,,,,
,image-cpt,14,474959,,,,False,,,,,,,,,
354.0,image-cpt,15,477107,,,32,True,,,,,,,,,
,image-cpt,16,480242,,,,False,,,,,,,,,
318.0,image-cpt,17,482890,,,32,False,,,,,,,,,
,image-cpt,18,485024,,,,False,,,,,,,,,
352.0,image-cpt,19,487658,,,32,True,,,,,,,,,
,image-cpt,20,489807,,,,False,,,,,,,,,
33610.0,instructions,21,523418,,,,,,,,,,,,,
455.0,image-cpt,22,525554,,,32,True,,,,,,,,,
638.0,image-cpt,23,528187,,,32,False,,,,,,,,,
389.0,image-cpt,24,531837,,,32,True,,,,,,,,,
276.0,image-cpt,25,535487,,,32,False,,,,,,,,,
306.0,image-cpt,26,537620,,,32,True,,,,,,,,,
381.0,image-cpt,27,540270,,,32,False,,,,,,,,,
339.0,image-cpt,28,542920,,,32,False,,,,,,,,,
297.0,image-cpt,29,546070,,,32,False,,,,,,,,,
,image-cpt,30,549720,,,,False,,,,,,,,,
,image-cpt,31,552870,,,,False,,,,,,,,,
331.0,image-cpt,32,556019,,,32,False,,,,,,,,,
270.0,image-cpt,33,558652,,,32,True,,,,,,,,,
,image-cpt,34,561302,,,,False,,,,,,,,,
251.0,image-cpt,35,564436,,,32,False,,,,,,,,,
,image-cpt,36,568085,,,,False,,,,,,,,,
,image-cpt,37,571235,,,,False,,,,,,,,,
286.0,image-cpt,38,574405,,,32,True,,,,,,,,,
332.0,image-cpt,39,576551,,,32,False,,,,,,,,,
313.0,image-cpt,40,579701,,,32,True,,,,,,,,,
284.0,image-cpt,41,582351,,,32,True,,,,,,,,,
290.0,image-cpt,42,585001,,,32,False,,,,,,,,,
,image-cpt,43,588650,,,,False,,,,,,,,,
,image-cpt,44,591800,,,,False,,,,,,,,,
280.0,image-cpt,45,593950,,,32,True,,,,,,,,,
467.0,image-cpt,46,596600,,,32,True,,,,,,,,,
,image-cpt,47,599250,,,,False,,,,,,,,,
303.0,image-cpt,48,601884,,,32,True,,,,,,,,,
,image-cpt,49,605533,,,,False,,,,,,,,,
,image-cpt,50,608683,,,,False,,,,,,,,,
,image-cpt,51,610832,,,,False,,,,,,,,,
304.0,image-cpt,52,612982,,,32,False,,,,,,,,,
,image-cpt,53,616116,,,,False,,,,,,,,,
253.0,image-cpt,54,618765,,,32,True,,,,,,,,,
,image-cpt,55,622415,,,,False,,,,,,,,,
274.0,image-cpt,56,626065,,,32,False,,,,,,,,,
,image-cpt,57,628215,,,,False,,,,,,,,,
,image-cpt,58,631865,,,,False,,,,,,,,,
296.0,image-cpt,59,635514,,,32,False,,,,,,,,,
310.0,image-cpt,60,639149,,,32,True,,,,,,,,,
324.0,image-cpt,61,641797,,,32,False,,,,,,,,,
315.0,image-cpt,62,644947,,,32,True,,,,,,,,,
334.0,image-cpt,63,647097,,,32,False,,,,,,,,,
,image-cpt,64,650747,,,,False,,,,,,,,,
294.0,image-cpt,65,652897,,,32,True,,,,,,,,,
384.0,image-cpt,66,656047,,,32,True,,,,,,,,,
,image-cpt,67,659696,,,,False,,,,,,,,,
,image-cpt,68,662346,,,,False,,,,,,,,,
,image-cpt,69,665496,,,,False,,,,,,,,,
297.0,image-cpt,70,669146,,,32,True,,,,,,,,,
